"","date","hour","power"
"215",20170109,22,0.95
"216",20170109,23,0
"217",20170110,0,0.4
"218",20170110,1,1
"219",20170110,2,0.75
"220",20170110,3,0.6
"221",20170110,4,0
"222",20170110,5,0.25
"223",20170110,6,0.4
"224",20170110,7,0.75
"225",20170110,8,0.75
"226",20170110,9,1.05
"227",20170110,10,4.3
"228",20170110,11,5.43478260869565
"229",20170110,12,6
"230",20170110,13,4.85
"231",20170110,14,4.6
"232",20170110,15,4.25
"233",20170110,16,3.85
"234",20170110,17,2.35
"235",20170110,18,1.85
"236",20170110,19,1.9
"237",20170110,20,2.4
"238",20170110,21,2.35
"239",20170110,22,0.85
"240",20170110,23,1
"241",20170111,0,2
"242",20170111,1,0.75
"243",20170111,2,0.25
"244",20170111,3,0.5
"245",20170111,4,1.4
"246",20170111,5,1.1
"247",20170111,6,1.25
"248",20170111,7,1
"249",20170111,8,0.5
"250",20170111,9,2.55
"251",20170111,10,2.6
"252",20170111,11,3.7
"253",20170111,12,4.35
"254",20170111,13,4.4
"255",20170111,14,4.35
"256",20170111,15,3.35
"257",20170111,16,3
"258",20170111,17,3.9
"259",20170111,18,2.85
"260",20170111,19,1.85
"261",20170111,20,1.6
"262",20170111,21,1.15
"263",20170111,22,0.45
"264",20170111,23,0
"265",20170112,0,0
"266",20170112,1,0.65
"267",20170112,2,1
"268",20170112,3,1.65
"269",20170112,4,2.4
"270",20170112,5,2.05
"271",20170112,6,0.25
"272",20170112,7,0.15
"273",20170112,8,1.65
"274",20170112,9,1.35
"275",20170112,10,3.85
"276",20170112,11,6.02702702702703
"277",20170112,12,6.86666666666667
"278",20170112,13,6.88333333333333
"279",20170112,14,6.87719298245614
"280",20170112,15,6.74545454545455
"281",20170112,16,5.72222222222222
"282",20170112,17,3.85
"283",20170112,18,3.7
"284",20170112,19,2.5
"285",20170112,20,2.15
"286",20170112,21,1.45
"287",20170112,22,1.9
"288",20170112,23,1.5
"289",20170113,0,1.25
"290",20170113,1,0.7
"291",20170113,2,0.666666666666667
"292",20170113,3,3.07692307692308
"293",20170113,4,3.93103448275862
"294",20170113,5,3.14285714285714
"295",20170113,6,1.8
"296",20170113,7,0.4
"297",20170113,8,1.45
"298",20170113,9,0.9
"299",20170113,10,4.17391304347826
"300",20170113,11,5.825
"301",20170113,12,6.87719298245614
"302",20170113,13,6.63793103448276
"303",20170113,14,7.63333333333333
"304",20170113,15,7.11666666666667
"305",20170113,16,6.36666666666667
"306",20170113,17,5.63157894736842
"307",20170113,18,1.45
"308",20170113,19,0.35
"309",20170113,20,0.15
"310",20170113,21,1
"311",20170113,22,1
"312",20170113,23,1.5
"313",20170114,0,1.15
"314",20170114,1,1.35
"315",20170114,2,1.75
"316",20170114,3,0.782608695652174
"317",20170114,4,1.8
"318",20170114,5,1.0952380952381
"319",20170114,6,1.9
"320",20170114,7,1.25
"321",20170114,8,1.1
"322",20170114,9,1.25
"323",20170114,10,0.35
"324",20170114,11,1.15
"325",20170114,12,0.75
"326",20170114,13,2.31818181818182
"327",20170114,14,2.8
"328",20170114,15,3.85
"329",20170114,16,4.45
"330",20170114,17,4.9
"331",20170114,18,5.23809523809524
"332",20170114,19,4.66666666666667
"333",20170114,20,1.8
"334",20170114,21,1.4
"335",20170114,22,1.1
"336",20170114,23,1.8
"337",20170115,0,1.7
"338",20170115,1,2.7
"339",20170115,2,3.1
"340",20170115,3,2.1
"341",20170115,4,1.85
"342",20170115,5,2.7
"343",20170115,6,3.35
"344",20170115,7,0.45
"345",20170115,8,1
"346",20170115,9,2.9
"347",20170115,10,1.6
"348",20170115,11,1.2
"349",20170115,12,5.875
"350",20170115,13,6.24242424242424
"351",20170115,14,4.5
"352",20170115,15,6.05660377358491
"353",20170115,16,6
"354",20170115,17,4.1
"355",20170115,18,3.93939393939394
"356",20170115,19,5.21052631578947
"357",20170115,20,1.75
"358",20170115,21,2.25
"359",20170115,22,1.65
"360",20170115,23,1.2
"361",20170116,0,0.5
"362",20170116,1,0.85
"363",20170116,2,1.55
"364",20170116,3,1.35
"365",20170116,4,0.9
"366",20170116,5,1.1
"367",20170116,6,1.5
"368",20170116,7,1.65
"369",20170116,8,1.4
"370",20170116,9,2.15
"371",20170116,10,5.11111111111111
"372",20170116,11,6.69387755102041
"373",20170116,12,7
"374",20170116,13,6.125
"375",20170116,14,6.46666666666667
"376",20170116,15,5.71428571428571
"377",20170116,16,6
"378",20170116,17,5.25925925925926
"379",20170116,18,3.6
"380",20170116,19,2.6
"381",20170116,20,2.15
"382",20170116,21,0.85
"383",20170116,22,1.15
"384",20170116,23,0.75
"385",20170117,0,0.6
"386",20170117,1,0.5
"387",20170117,2,0.45
"388",20170117,3,1.2
"389",20170117,4,2.375
"390",20170117,5,3.57142857142857
"391",20170117,6,3.1
"392",20170117,7,2.85
"393",20170117,8,2.9
"394",20170117,9,2.45
"395",20170117,10,1.42857142857143
"396",20170117,11,4
"397",20170117,12,5.5625
"398",20170117,13,5.64583333333333
"399",20170117,14,6.75
"400",20170117,15,7
"401",20170117,16,6.64583333333333
"402",20170117,17,4.88461538461539
"403",20170117,18,2.05
"404",20170117,19,1.4
"405",20170117,20,1.35
"406",20170117,21,1.25
"407",20170117,22,0.25
"408",20170117,23,0.6
"409",20170118,0,0.9
"410",20170118,1,1
"411",20170118,2,1.4
"412",20170118,3,1.63333333333333
"413",20170118,4,1.52173913043478
"414",20170118,5,2
"415",20170118,6,2.90322580645161
"416",20170118,7,2.1
"417",20170118,8,0.6
"418",20170118,9,0.5
"419",20170118,10,1.8
"420",20170118,11,3.9
"421",20170118,12,4.5
"422",20170118,13,3.35
"423",20170118,14,3.65
"424",20170118,15,4.15
"425",20170118,16,5
"426",20170118,17,2.71428571428571
"427",20170118,18,1.3
"428",20170118,19,0.6
"429",20170118,20,1.25
"430",20170118,21,0.75
"431",20170118,22,1
"432",20170118,23,1
"433",20170119,0,1.25
"434",20170119,1,1
"435",20170119,2,1.5
"436",20170119,3,2.1
"437",20170119,4,2
"438",20170119,5,2.1
"439",20170119,6,2.86363636363636
"440",20170119,7,0.6
"441",20170119,8,1
"442",20170119,9,1.15
"443",20170119,10,2.55
"444",20170119,11,4.4
"445",20170119,12,5.30769230769231
"446",20170119,13,6.5
"447",20170119,14,6.75
"448",20170119,15,6.64912280701754
"449",20170119,16,6.47916666666667
"450",20170119,17,6.92452830188679
"451",20170119,18,6.24489795918367
"452",20170119,19,1.9
"453",20170119,20,1.4
"454",20170119,21,1.25
"455",20170119,22,1.25
"456",20170119,23,1.45
"457",20170120,0,0.8
