"","shipID","work_time","start_time","end_time","date","moving_time","status","port","place1","place2","dist","turn","weight_lv","seven","day","pilotID","tug1","tug2","tug3","tug.cnt"
"12385","350966",10,2017-04-11 17:30:00,2017-04-11 09:40:00,2017-04-11 09:00:00,1.42631626969757,"3","1",NA,"1058",5872.10915705979,0,1,0,1,"76","321",NA,NA,1
"12386","476811",17,2017-04-11 20:43:00,2017-04-11 13:00:00,2017-04-11 12:30:00,16.0590231207474,"3","1",NA,"1057",5710.04078145344,0,6,0,1,"89","241",NA,NA,1
"12388","397822",10,2017-04-11 23:10:00,2017-04-11 15:20:00,2017-04-11 14:30:00,12.6223959142485,"3","1",NA,"1041",2899.83190848945,0,1,0,1,"75","321","322",NA,2
"12389","397822",10,2017-04-11 23:10:00,2017-04-11 15:20:00,2017-04-11 14:30:00,12.6223959142485,"3","1",NA,"1041",2899.83190848945,0,1,0,1,"75","321","322",NA,2
"12390","380555",24,2017-04-11 16:06:00,2017-04-11 08:30:00,2017-04-11 07:00:00,15.4591842297097,"1","1",NA,"1006",4496.60969965072,0,8,1,1,"80","451",NA,NA,1
"12395","398136",20,2017-04-11 18:50:00,2017-04-11 11:10:00,2017-04-11 10:30:00,1.67034392567416,"3","2",NA,"1074",3395.80073507149,0,1,0,1,"84","162","104",NA,2
"12396","398136",20,2017-04-11 18:50:00,2017-04-11 11:10:00,2017-04-11 10:30:00,1.67034392567416,"3","2",NA,"1074",3395.80073507149,0,1,0,1,"84","162","104",NA,2
"12397","379239",43,2017-04-11 18:57:00,2017-04-11 11:40:00,2017-04-11 10:00:00,28.3477321814255,"1","2",NA,"1122",4267.36237097407,0,1,0,1,"56","163",NA,NA,1
"12399","391247",48,2017-04-11 16:52:00,2017-04-11 09:40:00,2017-04-11 07:30:00,30.5891807721382,"1","2",NA,"1097",6521.57211451525,0,1,1,1,"95","163","171","104",3
"12425","702102",32,2017-04-11 19:58:00,2017-04-11 12:30:00,2017-04-11 11:30:00,46.0383542581519,"1","1",NA,"1009",4928.65817151736,0,1,0,1,"77","322",NA,NA,1
"12427","911755",7,2017-04-11 18:03:00,2017-04-11 10:10:00,2017-04-11 09:30:00,16.9292378885189,"3","1",NA,"1045",3441.82289119184,0,8,0,1,"85","322",NA,NA,1
"12428","366773",30,2017-04-11 15:40:00,2017-04-11 08:10:00,2017-04-11 06:30:00,6,"1","1",NA,"1048",5841.3286668792,0,1,0,1,"81","241",NA,NA,1
"12429","331007",20,2017-04-11 14:30:00,2017-04-11 06:50:00,2017-04-11 06:00:00,6.18092003027665,"3","1",NA,"1036",3846.33676052417,0,1,0,1,"97","321",NA,NA,1
"12430","476811",42,2017-04-11 13:08:00,2017-04-11 05:50:00,2017-04-11 04:30:00,43.1839212760963,"1","1",NA,"1057",7562.04078145344,0,6,0,0,"84","321",NA,NA,1
"12439","994138",10,2017-04-11 16:55:00,2017-04-11 09:05:00,2017-04-11 08:30:00,2.13948160990179,"3","1",NA,"1060",6112.37475601805,0,1,0,1,"93","153",NA,NA,1
